feature,source,built_from,dtype,role,availability_tier,cov_2016,cov_2017,cov_2018,cov_2019,cov_2020,cov_min_year,n_years_ge_60,gate_a_holdout,gate_b_train,gate_c_needs_2016_drop,gate_d_holdout_variance,in_full,in_core,near_zero_variance,constant_in_holdout,year_variance_share,decision,decision_reason
slope_angle_des_ordinal,derived,slope_angle_des,Float64,condition,ex_ante,0.0,95.3,0.0,0.0,0.0,0.0,1,False,False,False,True,False,False,False,False,0.0,drop,"Gate A: only 0.0% coverage in the 2020 holdout, so it cannot be scored out-of-time."
slope_angle_num,raw,,float64,condition,ex_ante,0.0,0.0,0.0,100.0,99.2,0.0,2,True,False,False,True,False,False,False,False,0.0027,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
comp_method_is_missing,flag,,boolean,flag,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,False,False,False,False,True,0.0761,drop,"Single value across every holdout row, so it can only encode training-year structure -- dropped by Gate D."
distance_meter_is_missing,flag,,boolean,flag,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,False,False,False,False,True,0.9634,drop,"Single value across every holdout row, so it can only encode training-year structure -- dropped by Gate D."
hybridseed_2017_methodology_flag,flag,,boolean,flag,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,False,False,False,False,True,1.0,drop,"Single value across every holdout row, so it can only encode training-year structure -- dropped by Gate D."
lime_kg_ph_flagged_outlier,flag,,boolean,flag,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,False,False,False,True,True,0.0001,drop,"Single value across every holdout row, so it can only encode training-year structure -- dropped by Gate D."
plant_date_flagged_implausible,flag,,boolean,flag,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,False,False,False,True,True,0.0011,drop,"Single value across every holdout row, so it can only encode training-year structure -- dropped by Gate D."
basal_method,raw,,object,lever,ex_ante,44.3,90.5,55.9,49.0,0.0,0.0,1,False,False,False,True,False,False,False,False,,drop,"Gate A: only 0.0% coverage in the 2020 holdout, so it cannot be scored out-of-time."
comp_method,raw,,object,lever,ex_ante,0.0,15.0,15.5,17.4,0.0,0.0,0,False,False,False,True,False,False,False,False,,drop,"Gate A: only 0.0% coverage in the 2020 holdout, so it cannot be scored out-of-time."
comp_quality,raw,,object,lever,ex_ante,0.0,15.0,15.5,5.1,6.3,0.0,0,False,False,False,True,False,False,False,False,,drop,"Gate A: only 6.3% coverage in the 2020 holdout, so it cannot be scored out-of-time."
comp_source,raw,,object,lever,ex_ante,0.0,0.0,15.3,18.6,6.3,0.0,0,False,False,False,True,False,False,False,False,,drop,"Gate A: only 6.3% coverage in the 2020 holdout, so it cannot be scored out-of-time."
comp_source_manure,raw,,boolean,lever,ex_ante,0.0,0.0,0.0,0.0,27.9,0.0,0,False,False,False,True,False,False,False,False,0.0,drop,"Gate A: only 27.9% coverage in the 2020 holdout, so it cannot be scored out-of-time."
design_plant_density,derived,row_spacing|plant_spacing,float64,lever,ex_ante,0.0,98.8,58.6,54.5,0.0,0.0,1,False,False,False,True,False,False,False,False,0.0069,drop,"Gate A: only 0.0% coverage in the 2020 holdout, so it cannot be scored out-of-time."
lime_method,raw,,object,lever,ex_ante,0.0,0.0,10.0,5.3,0.0,0.0,0,False,False,False,True,False,False,False,False,,drop,"Gate A: only 0.0% coverage in the 2020 holdout, so it cannot be scored out-of-time."
pesticide,raw,,boolean,lever,mid_season,0.0,85.3,51.6,68.1,41.4,0.0,2,False,True,False,True,False,False,False,False,0.0138,drop,"Gate A: only 41.4% coverage in the 2020 holdout, so it cannot be scored out-of-time."
plant_spacing,raw,,float64,lever,ex_ante,0.0,99.1,58.9,54.6,0.0,0.0,1,False,False,False,True,False,False,False,False,0.023,drop,"Gate A: only 0.0% coverage in the 2020 holdout, so it cannot be scored out-of-time."
row_spacing,raw,,float64,lever,ex_ante,44.9,98.9,58.6,54.6,0.0,0.0,1,False,False,False,True,False,False,False,False,0.0057,drop,"Gate A: only 0.0% coverage in the 2020 holdout, so it cannot be scored out-of-time."
seed_depth_cm,derived,seed_depth_num,Float64,lever,ex_ante,0.0,0.0,88.2,0.0,0.0,0.0,1,False,False,False,True,False,False,False,False,0.0,drop,"Gate A: only 0.0% coverage in the 2020 holdout, so it cannot be scored out-of-time."
seed_depth_est,raw,,object,lever,ex_ante,0.0,100.0,0.0,0.0,0.0,0.0,1,False,False,False,True,False,False,False,False,,drop,"Gate A: only 0.0% coverage in the 2020 holdout, so it cannot be scored out-of-time."
chicks,raw,,float64,metadata,ex_ante,0.0,100.0,0.0,100.0,0.0,0.0,2,False,True,False,True,False,False,False,False,0.0012,drop,"Split or bookkeeping column, emitted but not a feature."
ducks,raw,,float64,metadata,ex_ante,0.0,100.0,0.0,100.0,0.0,0.0,2,False,True,False,True,False,False,False,False,0.0,drop,"Split or bookkeeping column, emitted but not a feature."
guinea_fowl,raw,,float64,metadata,ex_ante,0.0,100.0,0.0,100.0,0.0,0.0,2,False,True,False,True,False,False,True,False,0.0,drop,"Split or bookkeeping column, emitted but not a feature."
pigs,raw,,float64,metadata,ex_ante,0.0,100.0,0.0,100.0,0.0,0.0,2,False,True,False,True,False,False,False,False,0.0011,drop,"Split or bookkeeping column, emitted but not a feature."
prev_season_can_kg,raw,,float64,metadata,ex_ante,0.0,0.3,38.4,0.0,0.0,0.0,0,False,False,False,True,False,False,False,False,0.0,drop,"Split or bookkeeping column, emitted but not a feature."
prev_season_dap_kg,raw,,float64,metadata,ex_ante,0.0,18.9,66.9,0.0,0.0,0.0,1,False,False,False,True,False,False,False,False,0.0049,drop,"Split or bookkeeping column, emitted but not a feature."
prev_season_lime_kg,raw,,float64,metadata,ex_ante,0.0,100.0,0.0,0.0,0.0,0.0,1,False,False,False,True,False,False,True,False,0.0,drop,"Split or bookkeeping column, emitted but not a feature."
prev_season_npk_kg,raw,,float64,metadata,ex_ante,0.0,0.4,1.1,0.0,0.0,0.0,0,False,False,False,True,False,False,False,False,0.0155,drop,"Split or bookkeeping column, emitted but not a feature."
prev_season_urea_kg,raw,,float64,metadata,ex_ante,0.0,0.4,4.6,0.0,0.0,0.0,0,False,False,False,True,False,False,False,False,0.1209,drop,"Split or bookkeeping column, emitted but not a feature."
rabbits,raw,,float64,metadata,ex_ante,0.0,100.0,0.0,100.0,0.0,0.0,2,False,True,False,True,False,False,True,False,0.0046,drop,"Split or bookkeeping column, emitted but not a feature."
seed_depth_num,raw,,object,metadata,ex_ante,0.0,0.0,88.2,0.0,0.0,0.0,1,False,False,False,True,False,False,False,False,,drop,"Split or bookkeeping column, emitted but not a feature."
sheep,raw,,float64,metadata,ex_ante,0.0,100.0,0.0,100.0,0.0,0.0,2,False,True,False,True,False,False,False,False,0.0,drop,"Split or bookkeeping column, emitted but not a feature."
site_latitude,raw,,float64,metadata,ex_ante,81.0,88.2,99.2,93.3,0.0,0.0,4,False,True,False,True,False,False,False,False,0.0029,drop,"Split or bookkeeping column, emitted but not a feature."
site_longitude,raw,,float64,metadata,ex_ante,81.0,88.2,99.2,93.3,0.0,0.0,4,False,True,False,True,False,False,False,False,0.0173,drop,"Split or bookkeeping column, emitted but not a feature."
aphids,raw,,boolean,shock,mid_season,0.0,0.0,1.9,0.8,100.0,0.0,1,True,False,False,True,False,False,False,False,0.3734,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
blight,raw,,boolean,shock,mid_season,0.0,0.0,0.0,0.0,100.0,0.0,1,True,False,False,True,False,False,True,False,0.0,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
cutworms,raw,,boolean,shock,mid_season,0.0,0.0,3.6,1.8,100.0,0.0,1,True,False,False,True,False,False,False,False,0.58,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
mlnd,raw,,boolean,shock,mid_season,0.0,3.1,1.8,2.9,100.0,0.0,1,True,False,False,True,False,False,False,False,0.8556,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
msv,raw,,boolean,shock,mid_season,0.0,2.2,3.0,3.3,100.0,0.0,1,True,False,False,True,False,False,False,False,0.7787,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
stemborer,raw,,boolean,shock,mid_season,0.0,8.8,5.5,1.7,100.0,0.0,1,True,False,False,True,False,False,False,False,0.7714,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
striga,raw,,boolean,shock,mid_season,0.0,0.0,0.0,0.0,99.2,0.0,1,True,False,False,True,False,False,False,False,0.0,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
cv_fold,derived,site,Int64,group_key,ex_ante,100.0,100.0,99.6,100.0,100.0,99.6,5,True,True,False,True,False,False,False,True,0.5412,infrastructure,"Cross-validation grouping key, emitted as infrastructure."
cv_group,derived,site,string,group_key,ex_ante,100.0,100.0,99.6,100.0,100.0,99.6,5,True,True,False,True,False,False,False,False,,infrastructure,"Cross-validation grouping key, emitted as infrastructure."
site,raw,,object,group_key,ex_ante,100.0,100.0,99.6,100.0,100.0,99.6,5,True,True,False,True,False,False,False,False,,infrastructure,"CV grouping key only, never a feature and never target-encoded: 2,133 levels over 23,674 rows, median 9 train rows per site, and train-site means correlate only 0.286 with holdout-site means. Use district (0.717) if a geographic encoding is wanted."
harvest_date,raw,,datetime64[ns],metadata,ex_post,0.0,63.7,100.0,100.0,96.1,0.0,4,True,True,True,True,False,False,False,False,0.7301,infrastructure,"Raw datetime, unusable by a tree model directly and already represented by plant_date_doy / growing_season_days."
is_holdout,derived,year,bool,metadata,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,False,False,False,True,1.0,infrastructure,"Split or bookkeeping column, emitted but not a feature."
plant_date,raw,,datetime64[ns],metadata,ex_ante,94.2,39.9,99.7,99.8,98.5,39.9,4,True,True,False,True,False,False,False,False,0.4746,infrastructure,"Raw datetime, unusable by a tree model directly and already represented by plant_date_doy / growing_season_days."
cows,raw,,float64,condition,ex_ante,100.0,100.0,0.0,100.0,97.3,0.0,4,True,True,False,True,True,True,False,False,0.0075,keep,Stable across all five survey years and the holdout.
district,raw,,object,condition,ex_ante,100.0,98.6,100.0,100.0,100.0,98.6,5,True,True,False,True,True,True,False,False,,keep,Stable across all five survey years and the holdout.
electricity,raw,,boolean,condition,ex_ante,100.0,0.0,100.0,100.0,97.3,0.0,4,True,True,False,True,True,True,False,False,0.0312,keep,Stable across all five survey years and the holdout.
gdd10_apr,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.33,keep,External mid_season weather covariate; 33% of its variance is between seasons rather than between places.
gdd10_aug,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.0267,keep,External mid_season weather covariate; 3% of its variance is between seasons rather than between places.
gdd10_feb,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.0926,keep,External ex_ante weather covariate; 9% of its variance is between seasons rather than between places.
gdd10_jan,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.1355,keep,External ex_ante weather covariate; 14% of its variance is between seasons rather than between places.
gdd10_jul,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.0296,keep,External mid_season weather covariate; 3% of its variance is between seasons rather than between places.
gdd10_jun,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.0873,keep,External mid_season weather covariate; 9% of its variance is between seasons rather than between places.
gdd10_mar,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.3244,keep,External mid_season weather covariate; 32% of its variance is between seasons rather than between places.
gdd10_may,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.0663,keep,External mid_season weather covariate; 7% of its variance is between seasons rather than between places.
gdd10_oct,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.0647,keep,External mid_season weather covariate; 6% of its variance is between seasons rather than between places.
gdd10_p0,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,condition,mid_season,94.2,39.9,99.7,99.8,98.5,39.9,4,True,True,False,True,True,True,False,False,0.142,keep,External mid_season weather covariate; 14% of its variance is between seasons rather than between places.
gdd10_p0_p3,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,condition,mid_season,94.2,39.9,99.7,99.8,98.4,39.9,4,True,True,False,True,True,True,False,False,0.0882,keep,External mid_season weather covariate; 9% of its variance is between seasons rather than between places.
gdd10_p1,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,condition,mid_season,94.2,39.9,99.7,99.8,98.5,39.9,4,True,True,False,True,True,True,False,False,0.1726,keep,External mid_season weather covariate; 17% of its variance is between seasons rather than between places.
gdd10_p2,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,condition,mid_season,94.2,39.9,99.7,99.8,98.5,39.9,4,True,True,False,True,True,True,False,False,0.0428,keep,External mid_season weather covariate; 4% of its variance is between seasons rather than between places.
gdd10_p3,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,condition,mid_season,94.2,39.9,99.7,99.8,98.4,39.9,4,True,True,False,True,True,True,False,False,0.0488,keep,External mid_season weather covariate; 5% of its variance is between seasons rather than between places.
gdd10_season,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.1011,keep,External mid_season weather covariate; 10% of its variance is between seasons rather than between places.
gdd10_season_normal,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.0065,keep,External ex_ante weather covariate; 1% of its variance is between seasons rather than between places.
gdd10_sep,external,ECMWF/ERA5_LAND/DAILY_AGGR,float64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.0117,keep,External mid_season weather covariate; 1% of its variance is between seasons rather than between places.
hh_num,raw,,float64,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.0011,keep,Stable across all five survey years and the holdout.
hh_num_under18,raw,,float64,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.0038,keep,Stable across all five survey years and the holdout.
owns_cows,raw,,boolean,condition,ex_ante,100.0,100.0,100.0,100.0,97.3,97.3,5,True,True,False,True,True,True,False,False,0.0019,keep,Stable across all five survey years and the holdout.
owns_electricity,raw,,boolean,condition,ex_ante,100.0,0.0,100.0,100.0,97.3,0.0,4,True,True,False,True,True,True,False,False,0.0312,keep,Stable across all five survey years and the holdout.
owns_oxen,raw,,boolean,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.0727,keep,Stable across all five survey years and the holdout.
plot_acres,raw,,float64,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.0018,keep,Stable across all five survey years and the holdout.
plot_hectares,raw,,float64,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.0018,keep,Stable across all five survey years and the holdout.
rain_days_apr,external,UCSB-CHG/CHIRPS/DAILY,int64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.6801,keep,External mid_season weather covariate; 68% of its variance is between seasons rather than between places -- treat as substantially a year label.
rain_days_aug,external,UCSB-CHG/CHIRPS/DAILY,int64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.2361,keep,External mid_season weather covariate; 24% of its variance is between seasons rather than between places.
rain_days_feb,external,UCSB-CHG/CHIRPS/DAILY,int64,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.2917,keep,External ex_ante weather covariate; 29% of its variance is between seasons rather than between places.
rain_days_jan,external,UCSB-CHG/CHIRPS/DAILY,int64,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.6547,keep,External ex_ante weather covariate; 65% of its variance is between seasons rather than between places -- treat as substantially a year label.
rain_days_jul,external,UCSB-CHG/CHIRPS/DAILY,int64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.3651,keep,External mid_season weather covariate; 37% of its variance is between seasons rather than between places.
rain_days_jun,external,UCSB-CHG/CHIRPS/DAILY,int64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.5495,keep,External mid_season weather covariate; 55% of its variance is between seasons rather than between places -- treat as substantially a year label.
rain_days_mar,external,UCSB-CHG/CHIRPS/DAILY,int64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.6187,keep,External mid_season weather covariate; 62% of its variance is between seasons rather than between places -- treat as substantially a year label.
rain_days_may,external,UCSB-CHG/CHIRPS/DAILY,int64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.1404,keep,External mid_season weather covariate; 14% of its variance is between seasons rather than between places.
rain_days_oct,external,UCSB-CHG/CHIRPS/DAILY,int64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.3023,keep,External mid_season weather covariate; 30% of its variance is between seasons rather than between places.
rain_days_preseason,external,UCSB-CHG/CHIRPS/DAILY,int64,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.3882,keep,External ex_ante weather covariate; 39% of its variance is between seasons rather than between places.
rain_days_season,external,UCSB-CHG/CHIRPS/DAILY,int64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.3471,keep,External mid_season weather covariate; 35% of its variance is between seasons rather than between places.
rain_days_season_normal,external,UCSB-CHG/CHIRPS/DAILY,float64,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.0273,keep,External ex_ante weather covariate; 3% of its variance is between seasons rather than between places.
rain_days_sep,external,UCSB-CHG/CHIRPS/DAILY,int64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.2508,keep,External mid_season weather covariate; 25% of its variance is between seasons rather than between places.
rain_mm_apr,external,UCSB-CHG/CHIRPS/DAILY,float64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.6087,keep,External mid_season weather covariate; 61% of its variance is between seasons rather than between places -- treat as substantially a year label.
rain_mm_aug,external,UCSB-CHG/CHIRPS/DAILY,float64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.3488,keep,External mid_season weather covariate; 35% of its variance is between seasons rather than between places.
rain_mm_driest_season_month,external,UCSB-CHG/CHIRPS/DAILY,float64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.3061,keep,External mid_season weather covariate; 31% of its variance is between seasons rather than between places.
rain_mm_feb,external,UCSB-CHG/CHIRPS/DAILY,float64,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.5124,keep,External ex_ante weather covariate; 51% of its variance is between seasons rather than between places -- treat as substantially a year label.
rain_mm_jan,external,UCSB-CHG/CHIRPS/DAILY,float64,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.7415,keep,External ex_ante weather covariate; 74% of its variance is between seasons rather than between places -- treat as substantially a year label.
rain_mm_jul,external,UCSB-CHG/CHIRPS/DAILY,float64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.1194,keep,External mid_season weather covariate; 12% of its variance is between seasons rather than between places.
rain_mm_jun,external,UCSB-CHG/CHIRPS/DAILY,float64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.2792,keep,External mid_season weather covariate; 28% of its variance is between seasons rather than between places.
rain_mm_mar,external,UCSB-CHG/CHIRPS/DAILY,float64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.7962,keep,External mid_season weather covariate; 80% of its variance is between seasons rather than between places -- treat as substantially a year label.
rain_mm_may,external,UCSB-CHG/CHIRPS/DAILY,float64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.2742,keep,External mid_season weather covariate; 27% of its variance is between seasons rather than between places.
rain_mm_oct,external,UCSB-CHG/CHIRPS/DAILY,float64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.5758,keep,External mid_season weather covariate; 58% of its variance is between seasons rather than between places -- treat as substantially a year label.
rain_mm_p0,external,UCSB-CHG/CHIRPS/DAILY,float64,condition,mid_season,94.2,39.9,99.7,99.8,98.5,39.9,4,True,True,False,True,True,True,False,False,0.3206,keep,External mid_season weather covariate; 32% of its variance is between seasons rather than between places.
rain_mm_p0_p3,external,UCSB-CHG/CHIRPS/DAILY,float64,condition,mid_season,94.2,39.9,99.7,99.8,98.4,39.9,4,True,True,False,True,True,True,False,False,0.4453,keep,External mid_season weather covariate; 45% of its variance is between seasons rather than between places.
rain_mm_p1,external,UCSB-CHG/CHIRPS/DAILY,float64,condition,mid_season,94.2,39.9,99.7,99.8,98.5,39.9,4,True,True,False,True,True,True,False,False,0.2973,keep,External mid_season weather covariate; 30% of its variance is between seasons rather than between places.
rain_mm_p2,external,UCSB-CHG/CHIRPS/DAILY,float64,condition,mid_season,94.2,39.9,99.7,99.8,98.5,39.9,4,True,True,False,True,True,True,False,False,0.3034,keep,External mid_season weather covariate; 30% of its variance is between seasons rather than between places.
rain_mm_p3,external,UCSB-CHG/CHIRPS/DAILY,float64,condition,mid_season,94.2,39.9,99.7,99.8,98.4,39.9,4,True,True,False,True,True,True,False,False,0.1498,keep,External mid_season weather covariate; 15% of its variance is between seasons rather than between places.
rain_mm_preseason,external,UCSB-CHG/CHIRPS/DAILY,float64,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.7008,keep,External ex_ante weather covariate; 70% of its variance is between seasons rather than between places -- treat as substantially a year label.
rain_mm_preseason_normal,external,UCSB-CHG/CHIRPS/DAILY,float64,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.009,keep,External ex_ante weather covariate; 1% of its variance is between seasons rather than between places.
rain_mm_season,external,UCSB-CHG/CHIRPS/DAILY,float64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.4073,keep,External mid_season weather covariate; 41% of its variance is between seasons rather than between places.
rain_mm_season_normal,external,UCSB-CHG/CHIRPS/DAILY,float64,condition,ex_ante,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.0213,keep,External ex_ante weather covariate; 2% of its variance is between seasons rather than between places.
rain_mm_sep,external,UCSB-CHG/CHIRPS/DAILY,float64,condition,mid_season,100.0,100.0,100.0,100.0,100.0,100.0,5,True,True,False,True,True,True,False,False,0.5715,keep,External mid_season weather covariate; 57% of its variance is between seasons rather than between places -- treat as substantially a year label.
soil_bulk_density_gcm3,external,iSDAsoil via coordinate join (see merge_soil_data.py),float64,condition,ex_ante,97.3,100.0,99.7,99.6,94.0,94.0,5,True,True,False,True,True,True,False,False,0.0059,keep,Stable across all five survey years and the holdout.
